event_id,event_name,start_date,end_date,category,description
1,Iraqi Invasion of Kuwait,1990-08-02,1991-02-28,Conflict,"Iraq invaded Kuwait on 2 Aug 1990, removing ~4.3 million bpd combined output from the market and triggering the Gulf War; Brent rose from roughly $17 to a peak near $46 by mid-October 1990."
2,Gulf War / Operation Desert Storm,1991-01-17,1991-02-28,Conflict,"US-led coalition launched military action to expel Iraqi forces from Kuwait; oil prices fell sharply once the war began as supply-disruption fears eased."
3,Asian Financial Crisis,1997-07-02,1998-12-31,Economic,"Collapse of the Thai baht on 2 Jul 1997 spread across Asia, crushing regional oil demand growth just as OPEC had raised quotas; Brent roughly halved between late 1997 and end of 1998."
4,September 11 Attacks,2001-09-11,2001-12-31,Geopolitical,"Terrorist attacks on the US raised geopolitical risk premiums and contributed to a global economic slowdown that softened oil demand into 2002."
5,US Invasion of Iraq,2003-03-20,2003-12-31,Conflict,"US-led invasion of Iraq began 20 Mar 2003, disrupting Iraqi oil exports and adding a sustained geopolitical risk premium to prices through the 2000s."
6,Global Financial Crisis / Lehman Collapse,2008-09-15,2008-12-31,Economic,"Lehman Brothers' bankruptcy on 15 Sep 2008 triggered a global financial crisis; Brent collapsed from a July 2008 peak near $147 to about $40 by December 2008 as demand cratered."
7,OPEC Emergency Production Cuts,2008-09-10,2008-12-31,OPEC Policy,"OPEC agreed a series of cuts totalling ~4.2 million bpd between Sep-Dec 2008 in response to the collapsing post-crisis price, helping stabilize the market into 2009."
8,Arab Spring / Libyan Civil War,2011-02-15,2011-10-31,Conflict,"Widespread uprisings across the Middle East and North Africa, including Libya's civil war starting mid-Feb 2011, removed substantial Libyan output and pushed Brent above $125 by April 2011."
9,OPEC Maintains Output Amid Oversupply,2014-11-27,2015-01-31,OPEC Policy,"OPEC's 27 Nov 2014 Vienna meeting decided not to cut production despite a global glut driven by US shale growth; Brent fell over $6 in a single day to $71.25 and continued toward $50 by January 2015."
10,OPEC+ Formed / First Coordinated Cut,2016-11-30,2017-01-31,OPEC Policy,"OPEC agreed its first production cut since 2008 on 30 Nov 2016, and non-OPEC producers led by Russia joined on 10 Dec 2016, forming the OPEC+ coalition and helping prices recover from 2014-16 lows."
11,US Withdrawal from Iran Nuclear Deal (JCPOA),2018-05-08,2018-11-05,Sanctions,"The US withdrew from the JCPOA on 8 May 2018 and re-imposed sanctions on Iranian oil exports effective 5 Nov 2018, removing Iranian barrels from the market and supporting prices through mid-2018."
12,Saudi-Russia Oil Price War,2020-03-08,2020-04-11,OPEC Policy,"OPEC+ talks collapsed on 6 Mar 2020; Saudi Arabia responded with steep discounts and a production surge announced 8 Mar 2020, crashing Brent alongside collapsing COVID-19 demand."
13,COVID-19 Demand Collapse,2020-03-11,2020-04-30,Economic,"WHO declared COVID-19 a pandemic on 11 Mar 2020; global lockdowns caused an unprecedented demand shock, with Brent falling to roughly $9-19 per barrel by late April 2020 (WTI briefly went negative on 20 Apr 2020)."
14,OPEC+ Record Production Cut Agreement,2020-04-12,2020-05-31,OPEC Policy,"OPEC+ agreed a record cut of 9.7 million bpd on 12 Apr 2020, effective 1 May 2020, to counter the COVID-19 demand collapse, helping stabilize and gradually recover prices through 2020-21."
15,Russian Invasion of Ukraine,2022-02-24,2022-09-30,Conflict,"Russia's invasion of Ukraine on 24 Feb 2022 triggered Western sanctions on Russian energy exports and fears of a global supply disruption, pushing Brent above $120 by early March 2022."
